"File","Line","Snippet","Category","Variant"
"changelog.md","77","- **Super Admin Layout Tags**: Added non-overlapping visual labels to `CPMCalendar` to assist with structural debugging.","UI","Super Admin"
"changelog.md","156","- **Global Playlist Feature**: implemented `is_global` flag for playlists, allowing Super Admins to define a system-wide","Security Rules","Super Admin"
"changelog.md","249","- **RBAC**: Standardized 5 MVP roles (`super_admin`, `retailer_admin`, `softomedia_manager`, `advertiser`, `tech_operato","Auth/Roles","super_admin"
"changelog.md","252","- **Dashboards**: Implemented Super Admin Overview and Retailer Location Management.","UI","Super Admin"
"lessons_learned.md","480","- All pricing factors must be visible and editable in Super Admin UI before implementation","UI","Super Admin"
"lessons_learned.md","494","2. **WYSIWYP Principle**: ""What You See Is What You Price."" All multipliers must be visible in the Super Admin UI.","UI","Super Admin"
"PromptForPerplexity.md","81","- Role guards: Super Admin-only features must check `user.role === 'superadmin'` before rendering","Auth/Roles","superadmin"
"PromptForRoo.md","89","- Role guards: any Super Admin-only UI element must be wrapped in `{user?.role === 'superadmin' && ...}`","Auth/Roles","superadmin"
"qa-human-test-plan.md","22","| 1.3 | `GET /api/users` with `Authorization: Bearer demo-token` + `x-demo-role: superadmin` | HTTP **200**, array |","Auth/Roles","superadmin"
"qa-human-test-plan.md","70","| 5.1 | In LocalStorage set `demo_role = superadmin` → reload → **Retailer Context selector visible** in header | ✓ |","Auth/Roles","superadmin"
"qa-test-plan-sprints1to4.md","4","**Auth:** All protected requests require header `Authorization: Bearer demo-token` + `x-demo-role: superadmin`","Auth/Roles","superadmin"
"qa-test-plan-sprints1to4.md","60","x-demo-role: superadmin","Auth/Roles","superadmin"
"qa-test-plan-sprints1to4.md","76","x-demo-role: superadmin","Auth/Roles","superadmin"
"qa-test-plan-sprints1to4.md","104","**Pass if:** Request headers include `Authorization: Bearer demo-token` and `x-demo-role: superadmin`.","Auth/Roles","superadmin"
"qa-test-plan-sprints1to4.md","153","### T2.4 — Cascade selector chain works in UI (Superadmin)","UI","super admin"
"qa-test-plan-sprints1to4.md","158","2. Confirm the **Retailer Context** selector is visible in the header (superadmin role should show this).","Auth/Roles","superadmin"
"qa-test-plan-sprints1to4.md","203","x-demo-role: superadmin","Auth/Roles","superadmin"
"qa-test-plan-sprints1to4.md","312","x-demo-role: superadmin","Auth/Roles","superadmin"
"qa-test-plan-sprints1to4.md","326","## Sprint 4 — LoopDemoPlayer, Playback, Superadmin UI","UI","super admin"
"qa-test-plan-sprints1to4.md","389","### T4.5 — Superadmin sees Retailer Context selector; non-superadmin does not","UI","superadmin"
"qa-test-plan-sprints1to4.md","393","1. In DevTools → Application → Local Storage, set `demo_role` = `superadmin`. Reload.","Auth/Roles","superadmin"
"qa-test-plan-sprints1to4.md","398","**Pass if:** Selector appears for `superadmin` and is hidden for `retailer_admin`.","UI","superadmin"
"qa-test-plan-sprints1to4.md","399","**Fail if:** Selector appears for non-superadmin roles, or is never visible even for superadmin.","Auth/Roles","superadmin"
"qa-test-plan-sprints1to4.md","460","| T4.5 | Superadmin selector visibility | ⬜ Pass / ⬜ Fail | |","UI","super admin"
"SPRINT_QA_TASKS.md","14","- Validate body fields: `name` (string, required, min length 1), `email` (string, required, valid email format), `role` ","Auth/Roles","superadmin"
"SPRINT_QA_TASKS.md","211","### TASK 4.3 — Frontend: Add Retailer context selector for Super Admin in `LoopDemoPlayer.jsx`","UI","Super Admin"
"SPRINT_QA_TASKS.md","213","- **Action:** Add a Retailer context selector visible only when `role === 'superadmin'`","Auth/Roles","superadmin"
"SPRINT_QA_TASKS.md","220","- This selector must only render when `role === 'superadmin'` — hide for all other roles","Auth/Roles","superadmin"
"SPRINT_QA_TASKS.md","399","- Roles allowed to see this view: `superadmin`, `techoperator` — add a role guard if not already present","System.Object[]","superadmin"
"SPRINT_QA_TASKS.md","403","## SPRINT 10 — Super Admin CPM / Section Label Toggle (`/dashboard/admin/pricing`)","UI","Super Admin"
"SPRINT_QA_TASKS.md","416","- **Action:** Add a toggle switch (or checkbox) visible only when `role === 'superadmin'`","Auth/Roles","superadmin"
"SPRINT_QA_TASKS.md","420","- Only render when `user.role === 'superadmin'`","Auth/Roles","superadmin"
"sre-integration-report-sprints1to4.md","80","### Sprint 4 — LoopDemoPlayer, Cascade Selectors, Superadmin Context","UI","super admin"
"sre-integration-report-sprints1to4.md","84","The cascade selector flow (Task 4.1) is correctly wired: each `useEffect` resets downstream state before fetching, preve","Auth/Roles","SuperAdmin"
"tasks.md","13","| 1 | Super Admin — Pricing | Section Label Overlay Toggle | Medium | `client-app/src/pages/admin/CPMCalendar.jsx`, `cli","UI","Super Admin"
"tasks.md","31","| 19 | Demo Player / Super Admin | No Retailer Context Selector | High | `client-app/src/pages/Player.jsx`, `client-app/","UI","Super Admin"
"tasks.md","41","### TASK-01 — Section Label Overlay Toggle (Super Admin)","UI","Super Admin"
"tasks.md","47","Add a toggle switch in the Super Admin pricing/CPM view that shows or hides section/zone name labels overlaid on the net","UI","Super Admin"
"tasks.md","50","- `client-app/src/pages/admin/CPMCalendar.jsx` — Add toggle UI element (switch/checkbox). Gate visibility with `user.rol","Auth/Roles","superadmin"
